,title,media,time,host
0,"정선군, 도내 첫 버스완전공영제 추진",국제뉴스,25분 전,
1,미얀마 양곤 이노시티 복합부동산 투자설명회,한국일보,2시간 전,네이버뉴스
2,"태백산국립공원, 함백산 폐전신주 철거 완료",국제뉴스,2시간 전,
3,"인디 밴드 새소년, &#39;음악당&#39; 출연..김이나-김희철-배순탁도 감탄[공식]",헤럴드POP,5시간 전,네이버뉴스
4,"[김희철의 전쟁사](14) 이승만이 맛본 수통의 압록강물, 통일 기쁨은 비극의 시작",뉴스투데이,5시간 전,
5,"모델 이소라, 손미나 전 아나운서와 다정한 모습…&#39;나이-결혼 여부에 관심↑&#39;",톱스타뉴스,5시간 전,
6,‘아는형님’ 이소라 “이상민 때문에 세상에 2개뿐인 옷 버려” 20년 앙금 고백,스포츠조선,6시간 전,네이버뉴스
7,"영월군, 지역정착지원형 청년일자리 사업 참여자 모집",국제뉴스,6시간 전,
8,"태백시노인복지관, 프로그램 발표회 및 작품 전시회 개최",국제뉴스,7시간 전,
9,EBS 펭수 “내 꿈은 우주대스타” 발언에 뿔난 아이돌 팬덤 [헉스],파이낸셜뉴스,23시간 전,네이버뉴스
10,모델 이소라 유튜버로 변신한 이유는?,헤럴드경제,1일 전,네이버뉴스
11,유튜버 변신 이소라 &quot;다이어트 비디오? 이제 그 여자 없다&quot;,데일리안,1일 전,네이버뉴스
12,이소라 &quot;100세시대라 유튜브 시작…다이어트 비디오 잊어달라&quot;,한국경제,1일 전,네이버뉴스
13,이소라 &quot;소통 위해 유튜브 시작…다이어트 비디오는 NO&quot;,더팩트,1일 전,네이버뉴스
14,&#39;아형&#39;서 흥 폭발한 이소라 &quot;장가 간 강남 대신 딘딘과 나왔다&quot;,세계일보,1일 전,네이버뉴스
15,이소라 입담 과시 &quot;다이어트 비디오? 이제 그 여자는 없다&quot;,뉴시스,1일 전,네이버뉴스
16,"이소라 “다이어트 비디오 속 여자, 이제는 없다” 웃음",서울신문,1일 전,네이버뉴스
17,"이소라, 이상민에게 &#39;20년 앙금&#39;…가죽점퍼 때문에?",머니투데이,1일 전,네이버뉴스
18,이소라 “다이어트 비디오 제작? 이제 그 여자는 없다” 자폭[결정적장면],뉴스엔,1일 전,네이버뉴스
19,`아는형님` 이소라 &quot;원래 동반출연 1순위는 강남이었다&quot;,매일경제,1일 전,네이버뉴스
20,"&#39;아는형님&#39; 이소라 &quot;이상민, 전세계 2개 가죽재킷 망가뜨려&quot;→&quot;강호동이 90도 인사&quot; 왜?",enews24,1일 전,네이버뉴스
21,"[리뷰IS] &#39;아형&#39; 이소라X딘딘, 존재감 甲 유쾌 입담→펭수 JTBC 입성",일간스포츠,1일 전,네이버뉴스
22,"최군, SNS를 통해 10일 일상공개 &quot;금단발 예쁜 어르신과 커플티...&quot;",인천일보,1일 전,
23,‘아는 형님’ 이소라와 이상민이 20년째 풀지 못한 사연,쿠키뉴스,1일 전,
24,"이수근 &quot;서장훈, 이소라 좋아했던 것 같아&quot;…서장훈 &#39;당황+해명&#39; (&#39;아는 형님&#39;)",마이데일리,1일 전,네이버뉴스
25,"&#39;아는 형님&#39; 이소라X딘딘, 거침없는 매력+유쾌 입담 feat. 펭수 [종합]",일간스포츠,1일 전,네이버뉴스
26,"[종합]&#39;대세 펭귄&#39; 펭수, &#39;아는형님&#39;도 접수→EBS선배 광희와 매력 대결",스포츠조선,1일 전,네이버뉴스
27,"[종합] `아는 형님` 이소라X딘딘, 메인요리X반찬 환상 콤비... 펭수, 방과 후 대기실로 JTBC 입성",매일경제,1일 전,네이버뉴스
28,"&#39;아는형님&#39; 이소라 &quot;딘딘은 딘딘&quot; 애정→펭수 &quot;광희, EBS 선배 아냐&quot; 도발 [종합]",엑스포츠뉴스,1일 전,네이버뉴스
29,"&#39;아는 형님&#39; 이소라x딘딘, 입담+끼 대방출→ 펭수 JTBC 입성 [종합]",OSEN,1일 전,네이버뉴스
