,title,media,time,host
40,"&quot;시켜줘, 명예 JYP&quot;…원더걸스→트와이스→ITZY로 이어지는 김희철의 &#39;성덕史&#39;",디지틀조선일보,3일 전,
41,"김희철X이수근 &#39;우주 쪼꼬미&#39;, 신곡 &#39;하얀겨울&#39; 15일 공개",이데일리,4일 전,네이버뉴스
42,"김희철×이수근 ‘우주 쪼꼬미’, 신곡 ‘하얀 겨울’ 15일 공개…걸그룹 ‘있지’, 뮤비 참여",브릿지경제,4일 전,
43,‘우주 쪼꼬미’ 김희철X이수근 리메이크곡 ‘하얀 겨울’ 발표···뮤직비디오 ITZY 출연,스포츠경향,4일 전,네이버뉴스
44,"김희철X이수근, 그룹 &#39;우주쪼꼬미&#39;로 뭉쳤다…ITZY 지원사격",한국경제,4일 전,네이버뉴스
45,김희철·이수근 ‘우주 쪼꼬미’ 신곡 공개…있지 지원사격,디지털타임스,4일 전,네이버뉴스
46,"있지(ITZY), 김희철X이수근 &#39;우주 쪼꼬미&#39; M/V 합류 &#39;나이를 뛰어넘는 케미&#39;…유나 생일 근황 재조명",톱스타뉴스,4일 전,
47,"김희철X이수근 ‘우주 쪼꼬미’, 15일 ‘하얀 겨울’ 특급 콜라보…ITZY MV 출연까지",영남일보,4일 전,
48,김희철X이수근 ‘우주 쪼꼬미’로 뭉쳤다...15일 컬래버곡 ‘하얀 겨울’ 공개,매일경제,4일 전,네이버뉴스
49,"김희철X이수근 ‘우주 쪼꼬미’, 캐럴 ‘하얀 겨울’ 리메이크 해 15일 발매",매일경제TV,4일 전,
50,"김희철X이수근 ‘우주 쪼꼬미’, 15일 ‘하얀 겨울’ 공개.. ITZY(있지) 뮤비 출연",브레이크뉴스,4일 전,
51,"김희철X이수근 우주 쪼꼬미, 신곡 ‘하얀 겨울’ 15일 공개",글로벌메이커스,4일 전,
52,"김희철X이수근 우주 쪼꼬미, 신곡 ‘하얀 겨울’ 15일 공개…90년대 감성",MK스포츠,4일 전,네이버뉴스
53,김희철X이수근 컬래버레이션 그룹 결성...&#39;우주쪼꼬미&#39;,아시아경제,4일 전,네이버뉴스
54,"&#39;우주쪼꼬미&#39; 김희철X이수근, 15일 컬래버곡 &#39;하얀 겨울&#39; 공개…90년대 감성 리메이크",전자신문,4일 전,네이버뉴스
55,"김희철X이수근 &#39;우주 쪼꼬미&#39;, 신곡 &#39;하얀 겨울&#39; 공개... 어떤 곡?",한강타임즈,4일 전,
56,"김희철X이수근 뭉친 &#39;우주 쪼꼬미&#39;, 신곡 &#39;하얀 겨울&#39; 공개...뮤비에 걸그룹 &#39;있지&#39; 깜짝 출연",뉴스인사이드,4일 전,
